TX,t_y,Model,ParamSensitivity,ParamSpecificity,ProbMassFunc
24,3,"Item-level (0.7,1)",0.7,1,0.275878612
24,4,"Item-level (0.7,1)",0.7,1,0.067730603
25,0,"Item-level (0.7,1)",0.7,1,0.038696797
25,1,"Item-level (0.7,1)",0.7,1,0.207178456
25,2,"Item-level (0.7,1)",0.7,1,0.384389711
25,3,"Item-level (0.7,1)",0.7,1,0.29266297
25,4,"Item-level (0.7,1)",0.7,1,0.077072066
26,0,"Item-level (0.7,1)",0.7,1,0.033511526
26,1,"Item-level (0.7,1)",0.7,1,0.191404896
26,2,"Item-level (0.7,1)",0.7,1,0.379260025
26,3,"Item-level (0.7,1)",0.7,1,0.308759548
26,4,"Item-level (0.7,1)",0.7,1,0.087064004
27,0,"Item-level (0.7,1)",0.7,1,0.028986067
27,1,"Item-level (0.7,1)",0.7,1,0.176412487
27,2,"Item-level (0.7,1)",0.7,1,0.372827005
27,3,"Item-level (0.7,1)",0.7,1,0.324080847
27,4,"Item-level (0.7,1)",0.7,1,0.097693593
28,0,"Item-level (0.7,1)",0.7,1,0.02504103
28,1,"Item-level (0.7,1)",0.7,1,0.162223687
28,2,"Item-level (0.7,1)",0.7,1,0.365239898
28,3,"Item-level (0.7,1)",0.7,1,0.338550742
28,4,"Item-level (0.7,1)",0.7,1,0.108944644
29,0,"Item-level (0.7,1)",0.7,1,0.021606013
29,1,"Item-level (0.7,1)",0.7,1,0.148848222
29,2,"Item-level (0.7,1)",0.7,1,0.356643609
29,3,"Item-level (0.7,1)",0.7,1,0.352104273
29,4,"Item-level (0.7,1)",0.7,1,0.120797883
30,0,"Item-level (0.7,1)",0.7,1,0.018618651
30,1,"Item-level (0.7,1)",0.7,1,0.136285247
30,2,"Item-level (0.7,1)",0.7,1,0.347177533
30,3,"Item-level (0.7,1)",0.7,1,0.364687323
30,4,"Item-level (0.7,1)",0.7,1,0.133231246
31,0,"Item-level (0.7,1)",0.7,1,0.016023756
31,1,"Item-level (0.7,1)",0.7,1,0.124525241
31,2,"Item-level (0.7,1)",0.7,1,0.336974627
31,3,"Item-level (0.7,1)",0.7,1,0.376256212
31,4,"Item-level (0.7,1)",0.7,1,0.146220164
32,0,"Item-level (0.7,1)",0.7,1,0.013772545
32,1,"Item-level (0.7,1)",0.7,1,0.113551649
32,2,"Item-level (0.7,1)",0.7,1,0.32616073
32,3,"Item-level (0.7,1)",0.7,1,0.386777224
32,4,"Item-level (0.7,1)",0.7,1,0.159737852
33,0,"Item-level (0.7,1)",0.7,1,0.011821944
33,1,"Item-level (0.7,1)",0.7,1,0.103342313
33,2,"Item-level (0.7,1)",0.7,1,0.314854071
33,3,"Item-level (0.7,1)",0.7,1,0.396226079
33,4,"Item-level (0.7,1)",0.7,1,0.173755593
34,0,"Item-level (0.7,1)",0.7,1,0.010133962
34,1,"Item-level (0.7,1)",0.7,1,0.093870712
34,2,"Item-level (0.7,1)",0.7,1,0.303164945
34,3,"Item-level (0.7,1)",0.7,1,0.404587364
34,4,"Item-level (0.7,1)",0.7,1,0.188243017
35,0,"Item-level (0.7,1)",0.7,1,0.008675129
35,1,"Item-level (0.7,1)",0.7,1,0.085107026
35,2,"Item-level (0.7,1)",0.7,1,0.291195541
35,3,"Item-level (0.7,1)",0.7,1,0.411853939
35,4,"Item-level (0.7,1)",0.7,1,0.203168364
36,0,"Item-level (0.7,1)",0.7,1,0.007415995
36,1,"Item-level (0.7,1)",0.7,1,0.077019043
36,2,"Item-level (0.7,1)",0.7,1,0.279039891
36,3,"Item-level (0.7,1)",0.7,1,0.418026324
36,4,"Item-level (0.7,1)",0.7,1,0.218498747
37,0,"Item-level (0.7,1)",0.7,1,0.006330675
37,1,"Item-level (0.7,1)",0.7,1,0.06957294
37,2,"Item-level (0.7,1)",0.7,1,0.266783916
37,3,"Item-level (0.7,1)",0.7,1,0.423112073
37,4,"Item-level (0.7,1)",0.7,1,0.234200396
38,0,"Item-level (0.7,1)",0.7,1,0.005396445
38,1,"Item-level (0.7,1)",0.7,1,0.062733934
38,2,"Item-level (0.7,1)",0.7,1,0.254505568
38,3,"Item-level (0.7,1)",0.7,1,0.427125157
38,4,"Item-level (0.7,1)",0.7,1,0.250238896
39,0,"Item-level (0.7,1)",0.7,1,0.004593381
39,1,"Item-level (0.7,1)",0.7,1,0.056466834
39,2,"Item-level (0.7,1)",0.7,1,0.242275036
39,3,"Item-level (0.7,1)",0.7,1,0.430085344
39,4,"Item-level (0.7,1)",0.7,1,0.266579405
40,0,"Item-level (0.7,1)",0.7,1,0.003904036
40,1,"Item-level (0.7,1)",0.7,1,0.050736498
40,2,"Item-level (0.7,1)",0.7,1,0.230155011
40,3,"Item-level (0.7,1)",0.7,1,0.43201759
40,4,"Item-level (0.7,1)",0.7,1,0.283186864
41,0,"Item-level (0.7,1)",0.7,1,0.003313152
41,1,"Item-level (0.7,1)",0.7,1,0.045508209
41,2,"Item-level (0.7,1)",0.7,1,0.218200991
41,3,"Item-level (0.7,1)",0.7,1,0.432951455
41,4,"Item-level (0.7,1)",0.7,1,0.300026193
42,0,"Item-level (0.7,1)",0.7,1,0.002807399
42,1,"Item-level (0.7,1)",0.7,1,0.040747977
42,2,"Item-level (0.7,1)",0.7,1,0.206461633
42,3,"Item-level (0.7,1)",0.7,1,0.432920521
42,4,"Item-level (0.7,1)",0.7,1,0.31706247
43,0,"Item-level (0.7,1)",0.7,1,0.002375151
43,1,"Item-level (0.7,1)",0.7,1,0.036422784
43,2,"Item-level (0.7,1)",0.7,1,0.194979112
43,3,"Item-level (0.7,1)",0.7,1,0.431961857
43,4,"Item-level (0.7,1)",0.7,1,0.334261097
44,0,"Item-level (0.7,1)",0.7,1,0.002006279
44,1,"Item-level (0.7,1)",0.7,1,0.032500771
44,2,"Item-level (0.7,1)",0.7,1,0.183789513
44,3,"Item-level (0.7,1)",0.7,1,0.430115481
44,4,"Item-level (0.7,1)",0.7,1,0.351587955
45,0,"Item-level (0.7,1)",0.7,1,0.001691972
45,1,"Item-level (0.7,1)",0.7,1,0.028951386
45,2,"Item-level (0.7,1)",0.7,1,0.172923226
45,3,"Item-level (0.7,1)",0.7,1,0.427423876
45,4,"Item-level (0.7,1)",0.7,1,0.369009541
46,0,"Item-level (0.7,1)",0.7,1,0.001424573
46,1,"Item-level (0.7,1)",0.7,1,0.025745479
46,2,"Item-level (0.7,1)",0.7,1,0.162405343
46,3,"Item-level (0.7,1)",0.7,1,0.42393151
46,4,"Item-level (0.7,1)",0.7,1,0.386493095
47,0,"Item-level (0.7,1)",0.7,1,0.001197441
47,1,"Item-level (0.7,1)",0.7,1,0.022855381
47,2,"Item-level (0.7,1)",0.7,1,0.152256063
47,3,"Item-level (0.7,1)",0.7,1,0.419684405
47,4,"Item-level (0.7,1)",0.7,1,0.404006709
48,0,"Item-level (0.7,1)",0.7,1,0.001004823
48,1,"Item-level (0.7,1)",0.7,1,0.020254938
48,2,"Item-level (0.7,1)",0.7,1,0.142491084
48,3,"Item-level (0.7,1)",0.7,1,0.414729722
48,4,"Item-level (0.7,1)",0.7,1,0.421519433
49,0,"Item-level (0.7,1)",0.7,1,0.00084174
49,1,"Item-level (0.7,1)",0.7,1,0.017919533
49,2,"Item-level (0.7,1)",0.7,1,0.13312199
49,3,"Item-level (0.7,1)",0.7,1,0.409115381
49,4,"Item-level (0.7,1)",0.7,1,0.439001356
50,0,"Item-level (0.7,1)",0.7,1,0.000703893
50,1,"Item-level (0.7,1)",0.7,1,0.015826079
50,2,"Item-level (0.7,1)",0.7,1,0.124156629
50,3,"Item-level (0.7,1)",0.7,1,0.402889712
50,4,"Item-level (0.7,1)",0.7,1,0.456423686
51,0,"Item-level (0.7,1)",0.7,1,0.000587575
51,1,"Item-level (0.7,1)",0.7,1,0.013953006
51,2,"Item-level (0.7,1)",0.7,1,0.115599476
51,3,"Item-level (0.7,1)",0.7,1,0.396101132
51,4,"Item-level (0.7,1)",0.7,1,0.473758811
52,0,"Item-level (0.7,1)",0.7,1,0.000489592
52,1,"Item-level (0.7,1)",0.7,1,0.012280223
52,2,"Item-level (0.7,1)",0.7,1,0.107451979
52,3,"Item-level (0.7,1)",0.7,1,0.38879785
52,4,"Item-level (0.7,1)",0.7,1,0.490980357
53,0,"Item-level (0.7,1)",0.7,1,0.000407198
53,1,"Item-level (0.7,1)",0.7,1,0.010789076
53,2,"Item-level (0.7,1)",0.7,1,0.09971289
53,3,"Item-level (0.7,1)",0.7,1,0.381027606
53,4,"Item-level (0.7,1)",0.7,1,0.508063229
54,0,"Item-level (0.7,1)",0.7,1,0.000338037
54,1,"Item-level (0.7,1)",0.7,1,0.009462302
54,2,"Item-level (0.7,1)",0.7,1,0.092378583
54,3,"Item-level (0.7,1)",0.7,1,0.372837431
54,4,"Item-level (0.7,1)",0.7,1,0.524983647
55,0,"Item-level (0.7,1)",0.7,1,0.000280089
55,1,"Item-level (0.7,1)",0.7,1,0.008283964
55,2,"Item-level (0.7,1)",0.7,1,0.085443345
55,3,"Item-level (0.7,1)",0.7,1,0.364273433
55,4,"Item-level (0.7,1)",0.7,1,0.541719169
56,0,"Item-level (0.7,1)",0.7,1,0.000231626
56,1,"Item-level (0.7,1)",0.7,1,0.007239392
56,2,"Item-level (0.7,1)",0.7,1,0.078899656
56,3,"Item-level (0.7,1)",0.7,1,0.355380613
56,4,"Item-level (0.7,1)",0.7,1,0.558248713
57,0,"Item-level (0.7,1)",0.7,1,0.000191171
57,1,"Item-level (0.7,1)",0.7,1,0.006315122
57,2,"Item-level (0.7,1)",0.7,1,0.072738447
57,3,"Item-level (0.7,1)",0.7,1,0.346202698
57,4,"Item-level (0.7,1)",0.7,1,0.574552563
58,0,"Item-level (0.7,1)",0.7,1,0.000157465
58,1,"Item-level (0.7,1)",0.7,1,0.005498822
58,2,"Item-level (0.7,1)",0.7,1,0.06694934
58,3,"Item-level (0.7,1)",0.7,1,0.336782002
58,4,"Item-level (0.7,1)",0.7,1,0.59061237
59,0,"Item-level (0.7,1)",0.7,1,0.000129438
59,1,"Item-level (0.7,1)",0.7,1,0.00477923
59,2,"Item-level (0.7,1)",0.7,1,0.06152087
59,3,"Item-level (0.7,1)",0.7,1,0.327159307
59,4,"Item-level (0.7,1)",0.7,1,0.606411155
60,0,"Item-level (0.7,1)",0.7,1,0.000106179
60,1,"Item-level (0.7,1)",0.7,1,0.004146083
60,2,"Item-level (0.7,1)",0.7,1,0.056440689
60,3,"Item-level (0.7,1)",0.7,1,0.317373759
60,4,"Item-level (0.7,1)",0.7,1,0.621933291
61,0,"Item-level (0.7,1)",0.7,1,8.69155870139178e-05
61,1,"Item-level (0.7,1)",0.7,1,0.003590052
61,2,"Item-level (0.7,1)",0.7,1,0.051695751
61,3,"Item-level (0.7,1)",0.7,1,0.307462789
61,4,"Item-level (0.7,1)",0.7,1,0.637164493
62,0,"Item-level (0.7,1)",0.7,1,7.099423047703e-05
62,1,"Item-level (0.7,1)",0.7,1,0.003102677
62,2,"Item-level (0.7,1)",0.7,1,0.047272484
62,3,"Item-level (0.7,1)",0.7,1,0.297462049
62,4,"Item-level (0.7,1)",0.7,1,0.652091796
63,0,"Item-level (0.7,1)",0.7,1,5.7862700220276e-05
63,1,"Item-level (0.7,1)",0.7,1,0.002676304
63,2,"Item-level (0.7,1)",0.7,1,0.043156941
63,3,"Item-level (0.7,1)",0.7,1,0.287405363
63,4,"Item-level (0.7,1)",0.7,1,0.66670353
64,0,"Item-level (0.7,1)",0.7,1,4.70552320955611e-05
64,1,"Item-level (0.7,1)",0.7,1,0.002304022
64,2,"Item-level (0.7,1)",0.7,1,0.039334937
64,3,"Item-level (0.7,1)",0.7,1,0.277324693
64,4,"Item-level (0.7,1)",0.7,1,0.680989293
65,0,"Item-level (0.7,1)",0.7,1,3.81798095545685e-05
65,1,"Item-level (0.7,1)",0.7,1,0.001979607
65,2,"Item-level (0.7,1)",0.7,1,0.035792176
65,3,"Item-level (0.7,1)",0.7,1,0.26725012
65,4,"Item-level (0.7,1)",0.7,1,0.694939918
66,0,"Item-level (0.7,1)",0.7,1,3.09071487699455e-05
66,1,"Item-level (0.7,1)",0.7,1,0.001697464
66,2,"Item-level (0.7,1)",0.7,1,0.032514357
66,3,"Item-level (0.7,1)",0.7,1,0.257209835
66,4,"Item-level (0.7,1)",0.7,1,0.708547437
67,0,"Item-level (0.7,1)",0.7,1,2.4961225749714e-05
67,1,"Item-level (0.7,1)",0.7,1,0.001452578
67,2,"Item-level (0.7,1)",0.7,1,0.029487272
67,3,"Item-level (0.7,1)",0.7,1,0.247230144
67,4,"Item-level (0.7,1)",0.7,1,0.721805044
68,0,"Item-level (0.7,1)",0.7,1,2.01111446681944e-05
68,1,"Item-level (0.7,1)",0.7,1,0.001240461
68,2,"Item-level (0.7,1)",0.7,1,0.026696889
68,3,"Item-level (0.7,1)",0.7,1,0.237335481
68,4,"Item-level (0.7,1)",0.7,1,0.734707059
69,0,"Item-level (0.7,1)",0.7,1,1.61641707237952e-05
69,1,"Item-level (0.7,1)",0.7,1,0.001057104
69,2,"Item-level (0.7,1)",0.7,1,0.024129424
69,3,"Item-level (0.7,1)",0.7,1,0.227548429
69,4,"Item-level (0.7,1)",0.7,1,0.747248879
70,0,"Item-level (0.7,1)",0.7,1,1.2959772289684e-05
70,1,"Item-level (0.7,1)",0.7,1,0.000898938
70,2,"Item-level (0.7,1)",0.7,1,0.021771405
70,3,"Item-level (0.7,1)",0.7,1,0.217889756
70,4,"Item-level (0.7,1)",0.7,1,0.759426941
71,0,"Item-level (0.7,1)",0.7,1,1.03645362054132e-05
71,1,"Item-level (0.7,1)",0.7,1,0.00076279
71,2,"Item-level (0.7,1)",0.7,1,0.019609725
71,3,"Item-level (0.7,1)",0.7,1,0.208378446
71,4,"Item-level (0.7,1)",0.7,1,0.771238675
72,0,"Item-level (0.7,1)",0.7,1,8.26783700176984e-06
72,1,"Item-level (0.7,1)",0.7,1,0.000645845
72,2,"Item-level (0.7,1)",0.7,1,0.017631682
72,3,"Item-level (0.7,1)",0.7,1,0.199031747
72,4,"Item-level (0.7,1)",0.7,1,0.782682459
73,0,"Item-level (0.7,1)",0.7,1,6.57815587244387e-06
73,1,"Item-level (0.7,1)",0.7,1,0.000545613
73,2,"Item-level (0.7,1)",0.7,1,0.015825018
73,3,"Item-level (0.7,1)",0.7,1,0.189865219
73,4,"Item-level (0.7,1)",0.7,1,0.793757572
74,0,"Item-level (0.7,1)",0.7,1,5.21995850062409e-06
74,1,"Item-level (0.7,1)",0.7,1,0.000459895
74,2,"Item-level (0.7,1)",0.7,1,0.014177944
74,3,"Item-level (0.7,1)",0.7,1,0.180892791
74,4,"Item-level (0.7,1)",0.7,1,0.804464151
75,0,"Item-level (0.7,1)",0.7,1,4.13105259475521e-06
75,1,"Item-level (0.7,1)",0.7,1,0.000386752
75,2,"Item-level (0.7,1)",0.7,1,0.012679162
75,3,"Item-level (0.7,1)",0.7,1,0.172126813
75,4,"Item-level (0.7,1)",0.7,1,0.814803142
76,0,"Item-level (0.7,1)",0.7,1,3.26035634758692e-06
76,1,"Item-level (0.7,1)",0.7,1,0.000324482
76,2,"Item-level (0.7,1)",0.7,1,0.011317882
76,3,"Item-level (0.7,1)",0.7,1,0.163578122
76,4,"Item-level (0.7,1)",0.7,1,0.824776253
77,0,"Item-level (0.7,1)",0.7,1,2.56601815352298e-06
77,1,"Item-level (0.7,1)",0.7,1,0.000271591
77,2,"Item-level (0.7,1)",0.7,1,0.010083828
77,3,"Item-level (0.7,1)",0.7,1,0.155256103
77,4,"Item-level (0.7,1)",0.7,1,0.834385911
78,0,"Item-level (0.7,1)",0.7,1,2.01383593454119e-06
78,1,"Item-level (0.7,1)",0.7,1,0.000226772
78,2,"Item-level (0.7,1)",0.7,1,0.008967244
78,3,"Item-level (0.7,1)",0.7,1,0.147168755
78,4,"Item-level (0.7,1)",0.7,1,0.843635215
79,0,"Item-level (0.7,1)",0.7,1,1.57593145532804e-06
79,1,"Item-level (0.7,1)",0.7,1,0.000188883
79,2,"Item-level (0.7,1)",0.7,1,0.007958897
79,3,"Item-level (0.7,1)",0.7,1,0.139322755
79,4,"Item-level (0.7,1)",0.7,1,0.852527888
80,0,"Item-level (0.7,1)",0.7,1,1.22964116283651e-06
80,1,"Item-level (0.7,1)",0.7,1,0.000156931
80,2,"Item-level (0.7,1)",0.7,1,0.00705007
80,3,"Item-level (0.7,1)",0.7,1,0.131723532
80,4,"Item-level (0.7,1)",0.7,1,0.861068239
81,0,"Item-level (0.7,1)",0.7,1,9.56590462637889e-07
81,1,"Item-level (0.7,1)",0.7,1,0.000130051
81,2,"Item-level (0.7,1)",0.7,1,0.006232554
81,3,"Item-level (0.7,1)",0.7,1,0.124375325
81,4,"Item-level (0.7,1)",0.7,1,0.869261112
82,0,"Item-level (0.7,1)",0.7,1,7.41923032810632e-07
82,1,"Item-level (0.7,1)",0.7,1,0.000107496
82,2,"Item-level (0.7,1)",0.7,1,0.005498646
82,3,"Item-level (0.7,1)",0.7,1,0.117281262
82,4,"Item-level (0.7,1)",0.7,1,0.877111853
83,0,"Item-level (0.7,1)",0.7,1,5.73660855381302e-07
83,1,"Item-level (0.7,1)",0.7,1,8.86182049672911e-05
83,2,"Item-level (0.7,1)",0.7,1,0.004841129
83,3,"Item-level (0.7,1)",0.7,1,0.11044342
83,4,"Item-level (0.7,1)",0.7,1,0.884626259
84,0,"Item-level (0.7,1)",0.7,1,4.42174187011867e-07
84,1,"Item-level (0.7,1)",0.7,1,7.28590162509063e-05
84,2,"Item-level (0.7,1)",0.7,1,0.004253261
84,3,"Item-level (0.7,1)",0.7,1,0.103862892
84,4,"Item-level (0.7,1)",0.7,1,0.891810545
85,0,"Item-level (0.7,1)",0.7,1,3.39743758785417e-07
85,1,"Item-level (0.7,1)",0.7,1,5.97382768783946e-05
85,2,"Item-level (0.7,1)",0.7,1,0.003728762
85,3,"Item-level (0.7,1)",0.7,1,0.097539858
85,4,"Item-level (0.7,1)",0.7,1,0.898671301
86,0,"Item-level (0.7,1)",0.7,1,2.60200146877305e-07
86,1,"Item-level (0.7,1)",0.7,1,4.88437740996629e-05
86,2,"Item-level (0.7,1)",0.7,1,0.003261793
86,3,"Item-level (0.7,1)",0.7,1,0.091473647
86,4,"Item-level (0.7,1)",0.7,1,0.905215456
87,0,"Item-level (0.7,1)",0.7,1,1.98627542748973e-07
87,1,"Item-level (0.7,1)",0.7,1,3.98226820210294e-05
87,2,"Item-level (0.7,1)",0.7,1,0.00284694
87,3,"Item-level (0.7,1)",0.7,1,0.085662796
87,4,"Item-level (0.7,1)",0.7,1,0.911450243
88,0,"Item-level (0.7,1)",0.7,1,1.51121118822882e-07
88,1,"Item-level (0.7,1)",0.7,1,3.23738053098339e-05
88,2,"Item-level (0.7,1)",0.7,1,0.002479195
88,3,"Item-level (0.7,1)",0.7,1,0.080105121
88,4,"Item-level (0.7,1)",0.7,1,0.917383159
89,0,"Item-level (0.7,1)",0.7,1,1.14588873892248e-07
89,1,"Item-level (0.7,1)",0.7,1,2.62407167351465e-05
89,2,"Item-level (0.7,1)",0.7,1,0.002153938
89,3,"Item-level (0.7,1)",0.7,1,0.074797769
89,4,"Item-level (0.7,1)",0.7,1,0.923021938
90,0,"Item-level (0.7,1)",0.7,1,8.65902877154114e-08
90,1,"Item-level (0.7,1)",0.7,1,2.12057021675573e-05
90,2,"Item-level (0.7,1)",0.7,1,0.001866914
90,3,"Item-level (0.7,1)",0.7,1,0.069737279
90,4,"Item-level (0.7,1)",0.7,1,0.928374515
91,0,"Item-level (0.7,1)",0.7,1,6.52053481516047e-08
91,1,"Item-level (0.7,1)",0.7,1,1.708443280154e-05
91,2,"Item-level (0.7,1)",0.7,1,0.001614218
91,3,"Item-level (0.7,1)",0.7,1,0.064919637
91,4,"Item-level (0.7,1)",0.7,1,0.933448995
92,0,"Item-level (0.7,1)",0.7,1,4.89285649064903e-08
92,1,"Item-level (0.7,1)",0.7,1,1.37212903636107e-05
92,2,"Item-level (0.7,1)",0.7,1,0.001392272
92,3,"Item-level (0.7,1)",0.7,1,0.060340332
92,4,"Item-level (0.7,1)",0.7,1,0.938253626
93,0,"Item-level (0.7,1)",0.7,1,3.65834762330526e-08
93,1,"Item-level (0.7,1)",0.7,1,1.0985276883545e-05
93,2,"Item-level (0.7,1)",0.7,1,0.001197804
93,3,"Item-level (0.7,1)",0.7,1,0.055994407
93,4,"Item-level (0.7,1)",0.7,1,0.942796767
94,0,"Item-level (0.7,1)",0.7,1,2.7253910544302e-08
94,1,"Item-level (0.7,1)",0.7,1,8.76644619866903e-06
94,2,"Item-level (0.7,1)",0.7,1,0.001027835
